wA,alpha,TTB,LOS,RATP,RATP_rel,improvement_pct
0.7,0.0,69.79,348.47,0.8239,0.8619,13.8
0.7,1.0,77.17,356.59,0.8438,0.8827,11.7
0.7,2.0,78.80,358.16,0.8387,0.8774,12.3
0.4,0.0,61.63,339.84,0.8165,0.8541,14.6
0.4,1.0,71.84,350.71,0.8359,0.8744,12.6
0.4,2.0,78.20,357.06,0.8334,0.8719,12.8
0.2,0.0,59.94,338.08,0.8321,0.8704,13.0
0.2,1.0,70.27,348.99,0.8449,0.8838,11.6
0.2,2.0,77.24,356.67,0.8585,0.8981,10.2
0.0,0.0,58.78,336.68,0.8478,0.8869,11.3
0.0,1.0,70.27,349.15,0.9324,0.9754,2.5
0.0,2.0,72.84,352.49,0.9661,1.0106,-1.1
